Human Says:,ChatBot Says:
Early Childhood Education,"You might be interested in Early Childhood Education. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/early-childhood-education"">here</a>."
Pre-School Education,"You might be interested in Pre-School Education. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/pre-school-education"">here</a>."
Primary Education,"You might be interested in Primary Education. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/primary-education"">here</a>."
Secondary Education,"You might be interested in Secondary Education. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/secondary-education"">here</a>."
Bio-Medical,"You might be interested in Bio-Medical Laboratory Technology. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/bio-medical-laboratory-technology"">here</a>."
Labaratory Technology,"You might be interested in Bio-Medical Laboratory Technology. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/bio-medical-laboratory-technology"">here</a>."
Midwife,"You might be interested in Midwifery. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/midwifery"">here</a>."
Midwifery,"You might be interested in Midwifery. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/midwifery"">here</a>."
Nursing,"You might be interested in Nursing. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/nursing"">here</a>."
Nurse,"You might be interested in Nursing. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/nursing"">here</a>."
Nutrition,"You might be interested in Nutrition and Dietetics. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/nutrition-and-dietetics"">here</a>."
Dietetics,"You might be interested in Nutrition and Dietetics. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/nutrition-and-dietetics"">here</a>."
Diet,"You might be interested in Nutrition and Dietetics. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/nutrition-and-dietetics"">here</a>."
International Forensic Science and Policing,"You might be interested in International Forensic Science and Policing. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/international-forensic-science-and-policing-19-20-gaat-niet-door-dit-academiejaar"">here</a>."
Forensic,"You might be interested in International Forensic Science and Policing. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/international-forensic-science-and-policing-19-20-gaat-niet-door-dit-academiejaar"">here</a>."
Forensic Science,"You might be interested in International Forensic Science and Policing. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/international-forensic-science-and-policing-19-20-gaat-niet-door-dit-academiejaar"">here</a>."
Policing,"You might be interested in International Forensic Science and Policing. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/international-forensic-science-and-policing-19-20-gaat-niet-door-dit-academiejaar"">here</a>."
Applied Computer Science,"You might be interested in Applied Computer Science. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/applied-computer-science-dig-x"">here</a>."
Computer,"You might be interested in Applied Computer Science. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/applied-computer-science-dig-x"">here</a>."
Multimedia,"You might be interested in Multimedia and Communication Technology. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/multimedia-and-communication-technology-multec"">here</a>."
Communication Technology,"You might be interested in Multimedia and Communication Technology. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/multimedia-and-communication-technology-multec"">here</a>."
Postgraduate Applied Artificial Intelligence,"You might be interested in Postgraduate Applied Artificial Intelligence. You can find more information <a href=""https://www.erasmushogeschool.be/nl/opleidingen/toegepaste-artificiele-intelligentie"">here</a>."
Artificial Intelligence,"You might be interested in Postgraduate Applied Artificial Intelligence. You can find more information <a href=""https://www.erasmushogeschool.be/nl/opleidingen/toegepaste-artificiele-intelligentie"">here</a>."
AI,"You might be interested in Postgraduate Applied Artificial Intelligence. You can find more information <a href=""https://www.erasmushogeschool.be/nl/opleidingen/toegepaste-artificiele-intelligentie"">here</a>."
A.I.,"You might be interested in Postgraduate Applied Artificial Intelligence. You can find more information <a href=""https://www.erasmushogeschool.be/nl/opleidingen/toegepaste-artificiele-intelligentie"">here</a>."
Idea & Innovation Management,"You might be interested in Idea & Innovation Management. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/idea-innovation-management"">here</a>."
Innovation,"You might be interested in Idea & Innovation Management. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/idea-innovation-management"">here</a>."
Idea,"You might be interested in Idea & Innovation Management. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/idea-innovation-management"">here</a>."
Music,"You might be interested in Music. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/music"">here</a>."
Musical,"You might be interested in Musical. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/musical"">here</a>."
Audiovisual and Dramatic Arts,"You might be interested in Audiovisual and Dramatic Arts. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/audiovisual-and-dramatic-arts"">here</a>."
Audiovisual,"You might be interested in Audiovisual and Dramatic Arts. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/audiovisual-and-dramatic-arts"">here</a>."
Dramatic,"You might be interested in Audiovisual and Dramatic Arts. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/audiovisual-and-dramatic-arts"">here</a>."
Social Work,"You might be interested in Social Work. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/audiovisual-and-dramatic-arts"">here</a>."
Social,"You might be interested in Social Work. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/audiovisual-and-dramatic-arts"">here</a>."
What can I study?,"I can help you with that, in what field are you interested?"
